,Unnamed: 0,Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
38,38,Bogdan Bogdanovic,SAC,27,6-6,220,None,Serbia,2014,1,27,61,15.1,3.4,3.4,-1.7,1.4%,10.5%,22.1%,56.5%,18.4%
39,39,Bojan Bogdanovic,UTA,31,6-8,226,None,Croatia,2011,2,31,63,20.2,4.1,2.1,5.5,2.0%,10.0%,25.2%,60.3%,9.9%
40,40,Bol Bol,DEN,20,7-2,220,Oregon,Sudan,2019,2,44,7,5.7,2.7,0.9,-9.8,5.7%,17.1%,20.6%,61.7%,10.3%
41,41,Brad Wanamaker,BOS,30,6-3,210,Pittsburgh,USA,Undrafted,Undrafted,Undrafted,71,6.9,2.0,2.5,5.0,1.6%,8.2%,15.2%,57.7%,18.1%
42,42,Bradley Beal,WAS,27,6-3,207,Florida,USA,2012,1,3,57,30.5,4.2,6.1,-4.5,2.4%,9.5%,33.8%,57.9%,28.5%
43,43,Brandon Clarke,MEM,23,6-8,215,Gonzaga,Canada,2019,1,21,58,12.1,5.9,1.4,-0.1,6.7%,17.7%,18.0%,66.3%,9.2%
44,44,Brandon Goodwin,ATL,24,6-0,180,Florida Gulf Coast,USA,Undrafted,Undrafted,Undrafted,34,6.1,2.1,1.5,-13.8,2.3%,13.2%,22.0%,50.7%,20.8%
45,45,Brandon Ingram,NOP,22,6-7,190,Duke,USA,2016,1,2,62,23.8,6.1,4.2,-1.3,2.3%,14.4%,27.5%,58.7%,19.2%
46,46,Brandon Knight,DET,28,6-2,182,Kentucky,USA,2011,1,8,25,7.3,1.6,2.8,-7.6,0.9%,9.3%,20.7%,50.3%,21.6%
47,47,Brian Bowen II,IND,21,6-6,190,None,USA,Undrafted,Undrafted,Undrafted,6,1.0,1.2,0.0,15.7,3.2%,16.2%,14.3%,30.0%,0.0%
48,48,Brook Lopez,MIL,32,7-0,282,Stanford,USA,2008,1,10,68,12.0,4.6,1.5,12.0,3.1%,11.8%,18.1%,55.1%,7.3%
49,49,Bruce Brown,DET,23,6-4,202,Miami,USA,2018,2,42,58,8.9,4.7,4.0,-4.3,3.8%,13.1%,15.9%,51.8%,20.8%
0,0,Bruno Caboclo,HOU,24,6-9,218,None,Brazil,2014,1,20,30,3.0,2.0,0.4,-5.1,8.1%,14.5%,17.0%,48.4%,7.6%
1,1,Bruno Fernando,ATL,21,6-9,240,Maryland,Angola,2019,2,34,56,4.3,3.5,0.9,-5.6,8.5%,17.9%,14.7%,54.2%,10.1%
2,2,Bryn Forbes,SAS,26,6-2,205,Michigan State,USA,Undrafted,Undrafted,Undrafted,63,11.2,2.0,1.7,-6.8,0.7%,7.1%,18.5%,57.0%,9.7%
3,3,Buddy Hield,SAC,27,6-4,220,Oklahoma,Bahamas,2016,1,6,72,19.2,4.6,3.0,-3.1,2.5%,12.4%,26.3%,56.6%,15.3%
4,4,CJ McCollum,POR,28,6-3,190,Lehigh,USA,2013,1,10,70,22.2,4.2,4.4,0.5,1.7%,9.0%,25.7%,54.1%,18.5%
5,5,CJ Miles,WAS,33,6-6,220,None,USA,2005,2,34,10,6.4,1.2,1.2,-1.3,2.1%,5.0%,16.9%,47.2%,9.1%
6,6,Caleb Martin,CHA,24,6-5,205,Nevada-Reno,USA,Undrafted,Undrafted,Undrafted,18,6.2,2.1,1.3,0.8,3.0%,8.6%,15.2%,59.5%,12.2%
7,7,Caleb Swanigan,POR,23,6-9,260,Purdue,USA,2017,1,26,27,2.4,3.7,1.1,-6.5,9.9%,24.8%,13.2%,59.7%,13.8%
8,8,Cam Reddish,ATL,20,6-8,218,Duke,USA,2019,1,10,58,10.5,3.7,1.5,-6.3,2.1%,11.0%,18.5%,50.0%,7.9%
9,9,Cameron Johnson,PHX,24,6-8,210,North Carolina,USA,2019,1,11,57,8.8,3.3,1.2,1.0,3.7%,10.9%,15.1%,58.6%,7.8%
10,10,Cameron Payne,PHX,25,6-1,183,Murray State,USA,2015,1,14,8,10.9,3.9,3.0,23.1,2.3%,13.1%,18.2%,61.2%,18.2%
11,11,Caris LeVert,BKN,25,6-6,205,Michigan,USA,2016,1,20,45,18.7,4.2,4.4,0.2,3.4%,9.6%,28.4%,51.4%,24.2%
12,12,Carmelo Anthony,POR,36,6-8,238,Syracuse,USA,2003,1,3,58,15.4,6.3,1.5,0.6,3.6%,14.5%,21.4%,52.5%,6.3%
13,13,Carsen Edwards,BOS,22,5-11,200,Purdue,USA,2019,2,33,37,3.3,1.3,0.6,-5.5,1.4%,10.7%,17.1%,44.4%,11.1%
14,14,Cedi Osman,CLE,25,6-7,230,None,Turkey,2015,2,31,65,11.0,3.6,2.4,-9.0,2.0%,10.3%,16.2%,55.2%,11.5%
15,15,Chandler Hutchison,CHI,24,6-7,210,Boise State,USA,2018,1,22,28,7.8,3.9,0.9,-11.9,3.2%,18.0%,18.3%,52.1%,7.7%
16,16,Chandler Parsons,ATL,31,6-9,230,Florida,USA,2011,2,38,5,2.8,1.4,0.6,-29.0,1.5%,12.0%,15.0%,38.9%,10.0%
17,17,Charlie Brown Jr.,ATL,23,6-6,199,St. Joseph's (PA),USA,Undrafted,Undrafted,Undrafted,10,2.0,0.4,0.2,33.9,4.0%,4.8%,23.1%,47.2%,7.7%
18,18,Chasson Randle,GSW,27,6-2,185,Stanford,USA,2015,,,3,1.7,0.7,1.7,-2.0,0.0%,5.3%,8.0%,37.7%,16.1%
19,19,Cheick Diallo,PHX,23,6-8,219,Kansas,Mali,2016,2,33,47,4.7,2.8,0.5,-3.8,6.3%,20.8%,16.9%,68.8%,7.6%
20,20,Chimezie Metu,SAS,23,6-9,225,Southern California,USA,2018,2,49,18,3.2,1.8,0.6,-6.7,10.3%,18.6%,21.8%,60.8%,16.4%
21,21,Chris Boucher,TOR,27,6-9,200,Oregon,Saint Lucia,Undrafted,Undrafted,Undrafted,62,6.6,4.5,0.4,5.7,12.1%,18.5%,18.5%,58.7%,4.9%
22,22,Chris Chiozza,BKN,24,5-11,175,Florida,USA,Undrafted,Undrafted,Undrafted,28,5.1,1.9,3.0,9.3,2.0%,10.2%,17.5%,49.9%,29.5%
23,23,Chris Clemons,HOU,22,5-9,180,Campbell University,USA,Undrafted,Undrafted,Undrafted,33,4.9,0.9,0.8,-8.8,1.2%,8.0%,23.5%,54.8%,16.2%
24,24,Chris Paul,OKC,35,6-1,175,Wake Forest,USA,2005,1,4,70,17.6,5.0,6.7,6.9,1.2%,14.3%,22.8%,61.0%,32.4%
25,25,Chris Silva,MIA,23,6-8,234,South Carolina,Gabon,Undrafted,Undrafted,Undrafted,44,3.0,2.9,0.5,-6.0,16.2%,18.4%,15.5%,65.1%,10.3%
26,26,Christian Wood,DET,24,6-10,214,UNLV,USA,Undrafted,Undrafted,Undrafted,62,13.1,6.3,1.0,2.0,7.9%,21.4%,22.3%,65.9%,7.4%
27,27,Clint Capela,ATL,26,6-10,240,None,Switzerland,2014,1,25,39,13.9,13.8,1.2,2.5,11.8%,26.5%,15.6%,62.6%,5.6%
28,28,Coby White,CHI,20,6-4,195,North Carolina,USA,2019,1,7,65,13.2,3.5,2.7,-4.4,1.5%,12.8%,23.5%,50.6%,16.2%
29,29,Cody Martin,CHA,24,6-5,205,Nevada-Reno,USA,2019,2,36,48,5.0,3.3,2.0,-3.2,3.9%,14.0%,13.1%,50.5%,15.4%
30,30,Cody Zeller,CHA,27,7-0,240,Indiana,USA,2013,1,4,58,11.1,7.1,1.5,-8.3,11.0%,19.7%,20.1%,57.6%,11.1%
31,31,Collin Sexton,CLE,21,6-1,190,Alabama,USA,2018,1,8,65,20.8,3.1,3.0,-9.2,2.8%,6.9%,26.4%,56.0%,14.6%
32,32,Corey Brewer,SAC,34,6-9,188,Florida,USA,2007,1,7,5,1.0,1.6,0.4,11.2,6.1%,20.0%,8.5%,47.0%,6.3%
33,33,Cory Joseph,SAC,28,6-3,200,Texas-Austin,Canada,2011,1,29,72,6.4,2.6,3.5,-0.3,2.4%,8.2%,12.7%,51.7%,19.9%
34,34,Courtney Lee,DAL,34,6-5,215,Western Kentucky,USA,2008,1,22,24,4.5,1.3,0.5,6.7,1.9%,7.0%,11.6%,62.9%,4.4%
35,35,Cristiano Felicio,CHI,27,6-10,270,None,Brazil,Undrafted,Undrafted,Undrafted,22,3.9,4.6,0.7,-7.7,14.4%,13.9%,8.8%,67.1%,5.3%
36,36,D'Angelo Russell,MIN,24,6-4,193,Ohio State,USA,2015,1,2,45,23.1,3.9,6.3,-8.1,1.1%,10.7%,30.5%,55.6%,32.7%
37,37,D.J. Augustin,ORL,32,5-11,183,Texas-Austin,USA,2008,1,9,57,10.5,2.1,4.6,1.5,1.5%,6.7%,18.4%,55.4%,28.1%
38,38,D.J. Wilson,MIL,24,6-10,231,Michigan,USA,2017,1,17,37,3.6,2.5,0.7,-6.3,3.1%,18.1%,17.5%,47.5%,10.4%
39,39,DaQuan Jeffries,SAC,22,6-5,230,Tulsa,USA,Undrafted,Undrafted,Undrafted,13,3.8,1.4,0.5,3.0,2.1%,10.5%,12.9%,58.6%,6.0%
40,40,Damian Jones,ATL,25,6-11,245,Vanderbilt,USA,2016,1,30,55,5.6,3.7,0.6,-12.6,8.0%,15.3%,11.3%,71.2%,5.7%
41,41,Damian Lillard,POR,29,6-2,195,Weber State,USA,2012,1,6,66,30.0,4.3,8.0,1.4,1.3%,9.2%,29.4%,62.7%,33.5%
42,42,Damion Lee,GSW,27,6-5,210,Drexel,USA,Undrafted,Undrafted,Undrafted,49,12.7,4.9,2.7,-4.1,2.1%,14.4%,18.4%,54.8%,13.9%
43,43,Damyean Dotson,NYK,26,6-5,210,Houston,USA,2017,2,44,48,6.7,1.9,1.2,-5.3,1.1%,9.1%,15.8%,52.7%,10.5%
44,44,Daniel Gafford,CHI,21,6-10,234,Arkansas,USA,2019,2,38,43,5.1,2.5,0.5,-1.9,8.1%,9.2%,13.1%,68.6%,5.1%
45,45,Daniel Theis,BOS,28,6-8,245,None,Germany,Undrafted,Undrafted,Undrafted,65,9.2,6.6,1.7,7.0,8.6%,17.2%,14.4%,63.1%,10.4%
46,46,Danilo Gallinari,OKC,31,6-10,233,None,Italy,2008,1,6,62,18.7,5.2,1.9,5.7,2.0%,15.7%,24.2%,61.2%,9.9%
47,47,Danny Green,LAL,33,6-6,215,North Carolina,USA,2009,2,46,68,8.0,3.3,1.3,6.4,3.0%,10.0%,13.5%,55.2%,6.9%
48,48,Dante Exum,CLE,24,6-5,214,None,Australia,2014,1,5,35,4.5,1.9,1.1,-8.8,2.4%,10.9%,14.5%,57.6%,12.4%
49,49,Danuel House Jr.,HOU,27,6-6,220,Texas A&M,USA,Undrafted,Undrafted,Undrafted,63,10.5,4.2,1.3,3.3,2.7%,10.1%,13.5%,57.2%,6.1%
0,0,Dario Saric,PHX,26,6-10,225,None,Croatia,2014,1,12,66,10.7,6.2,1.9,-1.2,6.0%,18.6%,17.4%,59.2%,10.5%
1,1,Darius Bazley,OKC,20,6-8,208,None,USA,2019,1,23,61,5.6,4.0,0.7,-3.2,2.5%,17.2%,14.6%,49.7%,5.4%
2,2,Darius Garland,CLE,20,6-1,192,Vanderbilt,USA,2019,1,5,59,12.3,1.9,3.9,-8.7,1.4%,4.6%,20.1%,49.8%,18.2%
3,3,Daryl Macon,MIA,24,6-2,185,Arkansas,USA,2018,,,4,0.8,0.0,0.3,7.6,0.0%,0.0%,16.7%,50.0%,14.3%
4,4,David Nwaba,HOU,27,6-5,219,Cal Poly,USA,Undrafted,Undrafted,Undrafted,20,5.2,2.3,0.4,7.2,2.7%,10.9%,13.9%,62.7%,4.6%
5,5,Davis Bertans,WAS,27,6-10,225,None,Latvia,2011,2,42,54,15.4,4.5,1.7,-0.3,2.1%,13.0%,18.3%,62.8%,8.1%
6,6,De'Aaron Fox,SAC,22,6-3,185,Kentucky,USA,2017,1,5,51,21.1,3.8,6.8,-4.0,2.1%,9.9%,29.0%,55.8%,33.6%
7,7,De'Andre Hunter,ATL,22,6-7,225,Virginia,USA,2019,1,4,63,12.3,4.5,1.8,-5.5,2.1%,11.6%,17.3%,52.1%,7.9%
8,8,De'Anthony Melton,MEM,22,6-2,200,Southern California,USA,2018,2,46,60,7.6,3.7,2.9,5.1,3.5%,13.7%,18.5%,50.1%,19.6%
9,9,DeAndre Jordan,BKN,31,6-11,265,Texas A&M,USA,2008,2,35,56,8.3,10.0,1.9,-1.8,10.5%,29.3%,13.6%,68.2%,13.2%
10,10,DeAndre' Bembry,ATL,25,6-5,210,St. Joseph's (PA),USA,2016,1,21,43,5.8,3.5,1.9,-11.8,3.4%,12.3%,13.7%,50.0%,13.0%
11,11,DeMar DeRozan,SAS,30,6-6,220,Southern California,USA,2009,1,9,68,22.1,5.5,5.6,-1.8,1.9%,13.9%,26.2%,60.3%,26.1%
12,12,DeMarre Carroll,HOU,33,6-6,215,Missouri,USA,2009,1,27,24,3.6,2.3,1.0,0.0,4.2%,13.8%,14.8%,51.5%,11.6%
13,13,Dean Wade,CLE,23,6-9,228,Kansas State,USA,Undrafted,Undrafted,Undrafted,12,1.7,1.6,0.2,-6.5,3.8%,21.3%,9.1%,74.4%,3.9%
14,14,Deandre Ayton,PHX,21,6-11,250,Arizona,Bahamas,2018,1,1,38,18.2,11.5,1.9,4.0,12.0%,22.5%,23.1%,56.8%,9.1%
15,15,Dejounte Murray,SAS,23,6-4,180,Washington,USA,2016,1,29,66,10.9,5.8,4.1,-4.2,4.0%,18.4%,20.7%,52.4%,23.2%
16,16,Delon Wright,DAL,28,6-5,185,Utah,USA,2015,1,20,73,6.9,3.8,3.3,1.7,4.0%,12.4%,14.0%,55.4%,21.5%
17,17,Dennis Schroder,OKC,26,6-1,172,None,Germany,2013,1,17,65,18.9,3.6,4.0,5.5,1.0%,9.9%,26.2%,57.5%,22.2%
18,18,Dennis Smith Jr.,NYK,22,6-2,205,North Carolina State,USA,2017,1,9,34,5.5,2.3,2.9,-17.1,3.4%,10.2%,22.3%,39.9%,29.7%
19,19,Denzel Valentine,CHI,26,6-4,220,Michigan State,USA,2016,1,14,36,6.8,2.1,1.2,-5.0,1.6%,13.8%,22.9%,51.1%,14.7%
20,20,Deonte Burton,OKC,26,6-4,240,Iowa State,USA,Undrafted,Undrafted,Undrafted,39,2.7,1.5,0.4,-12.7,1.7%,11.9%,17.3%,39.6%,7.6%
21,21,Derrick Favors,NOP,28,6-9,265,Georgia Tech,USA,2010,1,3,51,9.0,9.8,1.6,4.2,12.1%,24.9%,13.5%,62.0%,8.7%
22,22,Derrick Jones Jr.,MIA,23,6-6,210,UNLV,USA,Undrafted,Undrafted,Undrafted,59,8.5,3.9,1.1,-0.5,4.9%,11.5%,13.5%,62.0%,6.8%
23,23,Derrick Rose,DET,31,6-2,200,Memphis,USA,2008,1,1,50,18.1,2.4,5.6,-3.4,2.1%,7.1%,30.3%,55.5%,37.3%
24,24,Derrick Walton Jr.,DET,25,6-0,185,Michigan,USA,Undrafted,Undrafted,Undrafted,26,2.0,0.6,1.0,-0.9,0.7%,5.4%,7.9%,61.7%,15.5%
25,25,Derrick White,SAS,25,6-4,190,Colorado,USA,2017,1,29,68,11.3,3.3,3.5,1.0,2.0%,10.5%,18.3%,59.3%,20.3%
26,26,Devin Booker,PHX,23,6-5,206,Kentucky,USA,2015,1,13,70,26.6,4.2,6.5,2.7,1.2%,10.6%,29.4%,61.8%,28.8%
27,27,Devon Hall,OKC,24,6-5,215,Virginia,USA,2018,2,53,11,1.8,0.6,1.2,3.8,1.9%,6.0%,18.2%,29.8%,21.7%
28,28,Devontae Cacok,LAL,23,6-8,240,North Carolina-Wilmington,USA,Undrafted,Undrafted,Undrafted,1,6.0,5.0,1.0,22.7,16.7%,33.3%,22.2%,50.0%,12.5%
29,29,Devonte' Graham,CHA,25,6-1,195,Kansas,USA,2018,2,34,63,18.2,3.4,7.5,-4.5,1.8%,7.8%,24.3%,53.7%,34.5%
30,30,Dewan Hernandez,TOR,23,6-10,235,Miami,USA,2019,2,59,6,2.3,2.3,0.5,17.2,17.2%,26.5%,25.7%,43.2%,12.5%
31,31,Dewayne Dedmon,ATL,30,7-0,245,Southern California,USA,Undrafted,Undrafted,Undrafted,44,5.8,5.7,0.5,-0.7,7.5%,24.1%,17.9%,47.3%,4.1%
32,32,Dillon Brooks,MEM,24,6-7,225,Oregon,Canada,2017,2,45,73,16.2,3.3,2.1,-0.3,3.0%,7.6%,24.7%,51.0%,10.4%
33,33,Dion Waiters,LAL,28,6-3,210,Syracuse,USA,2012,1,4,10,11.1,2.4,2.0,7.8,0.9%,10.2%,24.3%,52.1%,15.6%
34,34,Domantas Sabonis,IND,24,6-11,240,Gonzaga,Lithuania,2016,1,11,62,18.5,12.4,5.0,3.1,8.9%,26.2%,22.9%,58.6%,21.5%
35,35,Donovan Mitchell,UTA,23,6-1,215,Louisville,USA,2017,1,13,69,24.0,4.4,4.3,2.6,2.3%,10.1%,30.3%,55.8%,21.4%
36,36,Donta Hall,BKN,22,6-9,229,Alabama,USA,Undrafted,Undrafted,Undrafted,9,4.3,4.2,0.4,-12.0,9.3%,19.7%,10.9%,65.2%,4.8%
37,37,Donte DiVincenzo,MIL,23,6-4,203,Villanova,USA,2018,1,17,66,9.2,4.8,2.3,12.2,4.1%,14.0%,16.8%,55.7%,13.4%
38,38,Dorian Finney-Smith,DAL,27,6-7,220,Florida,USA,Undrafted,Undrafted,Undrafted,71,9.5,5.7,1.6,6.5,6.6%,11.3%,12.8%,59.5%,7.3%
39,39,Doug McDermott,IND,28,6-7,225,Creighton,USA,2014,1,11,69,10.3,2.5,1.1,3.2,1.8%,9.8%,18.6%,62.0%,8.1%
40,40,Dragan Bender,GSW,22,7-0,249,None,Croatia,2016,1,4,16,6.7,4.6,1.8,1.1,6.0%,18.3%,18.0%,54.5%,14.2%
41,41,Draymond Green,GSW,30,6-6,230,Michigan State,USA,2012,2,35,43,8.0,6.2,6.2,-7.2,1.8%,19.2%,15.6%,48.9%,31.0%
42,42,Drew Eubanks,SAS,23,6-9,245,Oregon State,USA,Undrafted,Undrafted,Undrafted,22,4.9,3.9,0.7,-11.0,9.9%,20.3%,15.0%,68.2%,8.9%
43,43,Duncan Robinson,MIA,26,6-7,215,Michigan,USA,Undrafted,Undrafted,Undrafted,73,13.5,3.2,1.4,7.5,0.5%,9.9%,15.7%,68.4%,6.8%
44,44,Dusty Hannahs,MEM,26,6-3,210,Arkansas,USA,2017,,,2,6.0,0.5,0.0,17.2,0.0%,6.3%,28.6%,60.7%,0.0%
45,45,Dwayne Bacon,CHA,24,6-6,221,Florida State,USA,2017,2,40,39,5.7,2.6,1.3,-8.2,2.0%,12.4%,18.9%,41.9%,12.1%
46,46,Dwight Howard,LAL,34,6-10,265,None,USA,2004,1,1,69,7.5,7.3,0.7,5.9,12.8%,25.7%,14.6%,69.6%,4.8%
47,47,Dwight Powell,DAL,28,6-10,240,Stanford,Canada,2014,2,45,40,9.4,5.7,1.5,8.9,7.1%,13.2%,12.6%,67.7%,7.6%
48,48,Dzanan Musa,BKN,21,6-9,217,None,Bosnia and He...,2018,1,29,40,4.8,2.2,1.1,-2.5,3.9%,11.7%,19.3%,48.4%,13.1%
49,49,E'Twaun Moore,NOP,31,6-3,191,Purdue,USA,2011,2,55,56,8.3,2.3,1.4,-2.2,2.7%,9.5%,19.6%,51.0%,11.0%
0,0,Ed Davis,UTA,31,6-9,218,North Carolina,USA,2010,1,13,28,1.8,3.8,0.4,-15.2,10.7%,23.4%,9.2%,48.9%,6.2%
1,1,Edmond Sumner,IND,24,6-4,196,Xavier,USA,2017,2,52,31,4.9,1.5,1.8,-2.6,2.4%,7.3%,16.7%,49.1%,16.7%
2,2,Elfrid Payton,NYK,26,6-3,195,Louisana-Lafayette,USA,2014,1,10,45,10.0,4.7,7.2,-3.0,3.9%,12.6%,19.0%,47.0%,34.7%
3,3,Elie Okobo,PHX,22,6-3,190,None,France,2018,2,31,55,4.0,1.6,2.1,-3.2,2.2%,10.2%,14.7%,51.6%,22.7%
4,4,Emmanuel Mudiay,UTA,24,6-3,200,None,Democratic Re...,2015,1,7,54,7.3,2.3,2.1,-2.0,2.1%,11.7%,21.8%,54.3%,21.2%
5,5,Enes Kanter,BOS,28,6-10,250,None,Turkey,2011,1,3,58,8.1,7.4,1.0,9.9,15.8%,25.7%,18.6%,59.9%,8.4%
6,6,Eric Bledsoe,MIL,30,6-1,214,Kentucky,USA,2010,1,18,61,14.9,4.6,5.4,11.8,2.5%,12.1%,23.3%,57.1%,27.5%
7,7,Eric Gordon,HOU,31,6-3,215,Indiana,USA,2008,1,7,36,14.4,2.0,1.5,0.4,0.8%,5.6%,21.5%,51.0%,8.0%
8,8,Eric Mika,SAC,25,6-10,233,Brigham Young,USA,2017,,,1,6.0,7.0,0.0,19.5,11.1%,26.3%,8.9%,77.3%,0.0%
9,9,Eric Paschall,GSW,23,6-6,255,Villanova,USA,2019,2,41,60,14.0,4.6,2.1,-10.6,4.7%,11.6%,20.7%,57.1%,12.6%
10,10,Ersan Ilyasova,MIL,33,6-9,235,None,Turkey,2005,2,36,63,6.6,4.8,0.8,4.2,5.9%,21.2%,15.8%,58.9%,6.5%
11,11,Evan Fournier,ORL,27,6-7,205,None,France,2012,1,20,66,18.5,2.6,3.2,-1.8,0.8%,7.4%,23.7%,59.5%,16.0%
12,12,Evan Turner,MIN,31,6-6,220,Ohio State,USA,2010,1,2,19,3.3,2.0,2.0,-11.4,2.8%,10.7%,15.4%,42.4%,23.5%
13,13,Frank Jackson,NOP,22,6-3,205,Duke,USA,2017,2,31,59,6.3,1.4,1.0,-3.4,2.5%,7.0%,20.3%,51.0%,10.7%
14,14,Frank Kaminsky,PHX,27,7-0,240,Wisconsin,USA,2015,1,9,39,9.7,4.5,1.9,-1.0,4.3%,17.9%,20.4%,54.5%,14.4%
15,15,Frank Mason,MIL,26,5-11,190,Kansas,USA,2017,2,34,9,6.9,2.1,3.2,-1.8,3.4%,9.7%,22.8%,53.0%,37.2%
16,16,Frank Ntilikina,NYK,21,6-4,200,None,France,2017,1,8,57,6.3,2.1,3.0,-3.9,1.8%,8.2%,15.2%,49.7%,20.9%
17,17,Fred VanVleet,TOR,26,6-1,197,Wichita State,USA,Undrafted,Undrafted,Undrafted,54,17.6,3.8,6.6,4.8,0.9%,8.8%,21.8%,55.3%,28.1%
18,18,Furkan Korkmaz,PHI,22,6-7,202,None,Turkey,2016,1,26,72,9.8,2.3,1.1,2.7,1.1%,9.3%,17.7%,57.9%,7.3%
19,19,Gabe Vincent,MIA,24,6-3,200,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,9,2.4,0.6,0.7,-15.9,0.0%,5.3%,19.6%,29.7%,12.0%
20,20,Garrett Temple,BKN,34,6-5,195,Louisiana State,USA,Undrafted,Undrafted,Undrafted,62,10.3,3.5,2.5,-1.4,1.5%,9.6%,16.2%,51.3%,13.2%
21,21,Garrison Mathews,WAS,23,6-5,215,Lipscomb,USA,Undrafted,Undrafted,Undrafted,18,5.4,1.3,0.6,7.1,2.5%,7.5%,13.7%,69.1%,6.3%
22,22,Gary Clark,ORL,25,6-6,225,Cincinnati,USA,Undrafted,Undrafted,Undrafted,42,3.7,2.6,0.4,-5.1,5.8%,11.6%,10.5%,56.8%,4.3%
23,23,Gary Harris,DEN,25,6-4,210,Michigan State,USA,2014,1,19,56,10.4,2.9,2.1,3.4,1.5%,7.7%,15.0%,51.9%,9.1%
24,24,Gary Payton II,WAS,27,6-3,195,Oregon State,USA,Undrafted,Undrafted,Undrafted,29,3.9,2.8,1.7,-14.3,5.3%,12.7%,12.9%,47.3%,15.8%
25,25,Gary Trent Jr.,POR,21,6-5,209,Duke,USA,2018,2,37,61,8.9,1.6,1.0,-1.4,1.7%,5.2%,15.0%,58.7%,6.4%
26,26,George Hill,MIL,34,6-3,188,Indiana-Purdue Indianapolis,USA,2008,1,26,59,9.4,3.0,3.1,10.6,3.8%,8.6%,15.2%,65.9%,19.6%
27,27,Georges Niang,UTA,27,6-7,230,Iowa State,USA,2016,2,50,66,5.9,1.9,0.7,-1.1,1.5%,11.7%,16.3%,58.9%,6.9%
28,28,Giannis Antetokounmpo,MIL,25,6-11,242,None,Greece,2013,1,15,63,29.5,13.6,5.6,15.4,6.8%,30.7%,36.3%,61.3%,32.8%
29,29,Glenn Robinson III,PHI,26,6-6,222,Michigan,USA,2014,2,40,62,11.7,4.4,1.5,-7.8,4.3%,10.6%,16.0%,57.7%,8.1%
30,30,Goga Bitadze,IND,20,6-11,250,None,Georgia,2019,1,18,54,3.2,2.0,0.4,-1.4,5.2%,14.6%,17.0%,52.3%,6.6%
31,31,Goran Dragic,MIA,34,6-3,190,None,Slovenia,2008,2,45,59,16.2,3.2,5.1,3.5,1.7%,9.0%,24.8%,57.3%,29.7%
32,32,Gordon Hayward,BOS,30,6-7,225,Butler,USA,2010,1,9,52,17.5,6.7,4.1,8.5,3.1%,15.9%,20.6%,59.5%,17.8%
33,33,Gorgui Dieng,MEM,30,6-10,252,Louisville,Senegal,2013,1,21,63,7.4,5.6,1.2,-3.6,7.4%,22.1%,17.5%,56.8%,10.7%
34,34,Grant Williams,BOS,21,6-6,236,Tennessee,USA,2019,1,22,69,3.4,2.6,1.0,6.3,5.3%,10.6%,11.2%,50.5%,8.5%
35,35,Grayson Allen,MEM,24,6-4,198,Duke,USA,2018,1,21,38,8.7,2.2,1.4,-6.0,1.0%,10.3%,17.1%,60.9%,10.4%
36,36,Hamidou Diallo,OKC,21,6-5,202,Kentucky,USA,2018,2,45,46,6.9,3.6,0.8,0.9,4.6%,12.4%,17.3%,49.1%,6.0%
37,37,Harrison Barnes,SAC,28,6-8,225,North Carolina,USA,2012,1,7,72,14.5,4.9,2.2,-2.5,3.0%,11.1%,17.2%,57.4%,9.2%
38,38,Harry Giles III,SAC,22,6-11,240,Duke,USA,2017,1,20,46,6.9,4.1,1.3,-8.2,6.5%,24.1%,20.6%,58.0%,13.5%
39,39,Hassan Whiteside,POR,31,7-0,265,Marshall,USA,2010,2,33,67,15.5,13.5,1.2,2.7,12.3%,29.4%,19.2%,64.4%,5.8%
40,40,Henry Ellenson,BKN,23,6-10,240,Marquette,USA,2016,1,18,5,0.4,1.2,0.2,27.3,11.1%,19.0%,15.9%,14.3%,12.5%
41,41,Ian Mahinmi,WAS,33,6-11,262,None,France,2005,1,28,38,7.4,5.7,1.3,-4.5,8.9%,17.6%,15.4%,54.5%,8.4%
42,42,Ignas Brazdeikis,NYK,21,6-6,221,Michigan,Canada,2019,2,47,9,1.9,0.6,0.4,-7.1,3.6%,6.8%,21.8%,35.1%,11.4%
43,43,Iman Shumpert,BKN,30,6-5,212,Georgia Tech,USA,2011,1,17,13,4.2,2.6,0.9,-9.0,3.5%,9.2%,13.4%,40.3%,7.8%
44,44,Isaac Bonga,WAS,20,6-8,180,None,Germany,2018,2,39,66,5.0,3.4,1.2,-0.4,5.2%,12.1%,10.6%,60.8%,8.1%
45,45,Isaiah Hartenstein,HOU,22,7-0,250,None,Germany,2017,2,43,23,4.7,3.9,0.8,8.7,10.7%,20.0%,14.4%,67.4%,9.5%
46,46,Isaiah Roby,OKC,22,6-8,230,Nebraska-Lincoln,USA,2019,2,45,3,0.0,0.7,0.0,-11.5,0.0%,16.7%,7.1%,0.0%,0.0%
47,47,Isaiah Thomas,WAS,31,5-9,185,Washington,USA,2011,2,60,40,12.2,1.7,3.7,-10.4,1.1%,6.3%,23.6%,53.1%,22.4%
48,48,Ish Smith,WAS,31,6-0,175,Wake Forest,USA,Undrafted,Undrafted,Undrafted,68,10.9,3.2,4.9,-3.9,1.5%,10.3%,18.6%,50.9%,26.6%
